transaction_id,account_id,counterparty_account_id,timestamp,amount,merchant_category,channel,device_id,ip_address,phone,email,balance,account_created_at,label
T000000020,A000095,A000252,2025-01-02 05:02:50.142535633+00:00,20.39,retail,web,D00053,10.0.1.68,+1-555-4903,user7729@example.com,1469.53,2020-08-08 05:02:50.142535633+00:00,0
T000000021,A000304,A000431,2025-01-02 06:29:58.649662415+00:00,12.42,electronics,card,D00190,10.0.0.115,+1-555-5188,user59230@example.com,4202.14,2024-12-12 06:29:58.649662415+00:00,0
T000000022,A000491,A000084,2025-01-02 07:57:07.156789197+00:00,83.31,retail,card,D00073,10.0.0.237,+1-555-4106,user4250@example.com,475.08,2019-05-29 07:57:07.156789197+00:00,0
T000000023,A000322,A000160,2025-01-02 09:24:15.663915979+00:00,21.02,utilities,card,D00134,10.0.1.182,+1-555-5981,user63162@example.com,1105.22,2017-04-05 09:24:15.663915979+00:00,0
T000000024,A000035,A000136,2025-01-02 10:51:24.171042760+00:00,15.99,utilities,card,D00063,10.0.0.94,+1-555-9416,user22145@example.com,347.16,2019-05-15 10:51:24.171042760+00:00,0
T000000025,A000348,A000384,2025-01-02 12:18:32.678169542+00:00,17.25,utilities,card,D00052,10.0.0.192,+1-555-1006,user94149@example.com,2201.73,2020-06-04 12:18:32.678169542+00:00,0
T000000026,A000016,A000256,2025-01-02 13:45:41.185296324+00:00,41.78,electronics,transfer,D00062,10.0.0.145,+1-555-3560,user32643@example.com,2087.44,2023-04-14 13:45:41.185296324+00:00,0
T000000027,A000051,A000111,2025-01-02 15:12:49.692423105+00:00,35.36,utilities,card,D00089,10.0.0.89,+1-555-0812,user60203@example.com,19513.91,2023-05-14 15:12:49.692423105+00:00,0
T000000028,A000142,A000086,2025-01-02 16:39:58.199549887+00:00,37.07,retail,wire,D00238,10.0.0.198,+1-555-8508,user60928@example.com,3044.49,2023-10-27 16:39:58.199549887+00:00,0
T000000029,A000152,A000192,2025-01-02 18:07:06.706676669+00:00,37.74,retail,web,D00167,10.0.1.47,+1-555-1981,user87001@example.com,1746.02,2024-02-28 18:07:06.706676669+00:00,0
T000000030,A000001,A000076,2025-01-02 19:34:15.213803450+00:00,208.86,crypto,transfer,D00173,10.0.0.27,+1-555-6532,user33695@example.com,1642.4,2019-05-15 19:34:15.213803450+00:00,0
T000000031,A000008,A000348,2025-01-02 21:01:23.720930232+00:00,16.34,utilities,wire,D00013,10.0.0.102,+1-555-0653,user35838@example.com,1039.72,2022-03-16 21:01:23.720930232+00:00,0
T000000032,A000394,A000424,2025-01-02 22:28:32.228057014+00:00,14.7,utilities,card,D00002,10.0.1.152,+1-555-4769,user68302@example.com,1486.81,2018-05-20 22:28:32.228057014+00:00,0
T000000033,A000227,A000484,2025-01-02 23:55:40.735183795+00:00,10.87,electronics,web,D00085,10.0.0.130,+1-555-8984,user5737@example.com,1670.7,2021-06-13 23:55:40.735183795+00:00,0
T000000034,A000099,A000117,2025-01-03 01:22:49.242310577+00:00,45.42,electronics,card,D00221,10.0.0.167,+1-555-9524,user55381@example.com,278.16,2021-10-09 01:22:49.242310577+00:00,0
T000000035,A000214,A000219,2025-01-03 02:49:57.749437359+00:00,75.87,travel,card,D00004,10.0.1.80,+1-555-1480,user37522@example.com,1567.96,2020-05-20 02:49:57.749437359+00:00,0
T000000036,A000346,A000251,2025-01-03 04:17:06.256564141+00:00,21.89,retail,card,D00191,10.0.1.117,+1-555-6614,user97797@example.com,1452.16,2021-05-13 04:17:06.256564141+00:00,0
T000000037,A000367,A000247,2025-01-03 05:44:14.763690922+00:00,10.59,utilities,web,D00205,10.0.1.223,+1-555-2265,user53266@example.com,5449.13,2023-12-23 05:44:14.763690922+00:00,0
T000000038,A000144,A000226,2025-01-03 07:11:23.270817704+00:00,10.76,electronics,transfer,D00069,10.0.0.79,+1-555-7295,user77132@example.com,1205.52,2024-09-23 07:11:23.270817704+00:00,0
T000000039,A000083,A000110,2025-01-03 08:38:31.777944486+00:00,47.02,retail,card,D00029,10.0.1.121,+1-555-5373,user83332@example.com,726.01,2015-03-21 08:38:31.777944486+00:00,0
T000000040,A000479,A000055,2025-01-03 10:05:40.285071267+00:00,51.59,electronics,transfer,D00038,10.0.1.105,+1-555-7982,user14640@example.com,1660.42,2023-11-29 10:05:40.285071267+00:00,0
T000000041,A000315,A000201,2025-01-03 11:32:48.792198049+00:00,42.23,gaming,card,D00019,10.0.0.62,+1-555-8962,user63184@example.com,1421.51,2022-04-21 11:32:48.792198049+00:00,0
T000000042,A000491,A000046,2025-01-03 12:59:57.299324831+00:00,12.61,utilities,card,D00210,10.0.1.182,+1-555-3539,user67981@example.com,1206.55,2020-12-09 12:59:57.299324831+00:00,0
T000000043,A000153,A000031,2025-01-03 14:27:05.806451612+00:00,30.94,retail,card,D00196,10.0.0.156,+1-555-0490,user44220@example.com,481.45,2020-08-01 14:27:05.806451612+00:00,0
T000000044,A000055,A000262,2025-01-03 15:54:14.313578394+00:00,27.57,retail,web,D00168,10.0.0.211,+1-555-3172,user19840@example.com,1182.26,2017-07-06 15:54:14.313578394+00:00,0
T000000045,A000190,A000429,2025-01-03 17:21:22.820705176+00:00,30.53,utilities,web,D00022,10.0.1.142,+1-555-2159,user46187@example.com,842.73,2017-12-01 17:21:22.820705176+00:00,0
T000000046,A000163,A000270,2025-01-03 18:48:31.327831958+00:00,58.64,crypto,card,D00237,10.0.1.5,+1-555-1245,user5102@example.com,1126.44,2018-12-09 18:48:31.327831958+00:00,0
T000000047,A000359,A000011,2025-01-03 20:15:39.834958739+00:00,30.68,electronics,card,D00171,10.0.0.137,+1-555-7173,user99665@example.com,2406.0,2021-11-21 20:15:39.834958739+00:00,0
T000000048,A000358,A000420,2025-01-03 21:42:48.342085521+00:00,48.37,retail,web,D00206,10.0.0.160,+1-555-9026,user8883@example.com,780.85,2015-06-27 21:42:48.342085521+00:00,0
T000000049,A000035,A000341,2025-01-03 23:09:56.849212303+00:00,26.25,utilities,transfer,D00094,10.0.1.114,+1-555-5191,user14134@example.com,1122.16,2024-02-28 23:09:56.849212303+00:00,0
T000000050,A000293,A000151,2025-01-04 00:37:05.356339084+00:00,32.76,gaming,card,D00049,10.0.0.91,+1-555-5327,user13683@example.com,2065.16,2021-11-22 00:37:05.356339084+00:00,0
T000000051,A000171,A000136,2025-01-04 02:04:13.863465866+00:00,46.12,retail,transfer,D00205,10.0.0.235,+1-555-5945,user20551@example.com,1079.74,2021-03-26 02:04:13.863465866+00:00,0
T000000052,A000307,A000449,2025-01-04 03:31:22.370592648+00:00,5.71,retail,web,D00012,10.0.1.117,+1-555-8983,user18378@example.com,10800.51,2021-07-01 03:31:22.370592648+00:00,0
T000000053,A000195,A000238,2025-01-04 04:58:30.877719429+00:00,17.82,retail,web,D00045,10.0.1.186,+1-555-0169,user62528@example.com,1634.5,2019-06-23 04:58:30.877719429+00:00,0
T000000054,A000268,A000070,2025-01-04 06:25:39.384846211+00:00,15.33,retail,card,D00038,10.0.1.157,+1-555-5267,user11165@example.com,495.95,2024-06-22 06:25:39.384846211+00:00,0
T000000055,A000357,A000140,2025-01-04 07:52:47.891972993+00:00,12.95,retail,wire,D00021,10.0.0.179,+1-555-8668,user70140@example.com,684.41,2016-08-06 07:52:47.891972993+00:00,0
T000000056,A000146,A000132,2025-01-04 09:19:56.399099774+00:00,18.63,retail,web,D00137,10.0.0.99,+1-555-1621,user40751@example.com,631.47,2023-05-23 09:19:56.399099774+00:00,0
T000000057,A000099,A000200,2025-01-04 10:47:04.906226556+00:00,109.39,retail,card,D00057,10.0.1.211,+1-555-5787,user39497@example.com,692.27,2021-04-26 10:47:04.906226556+00:00,0
T000000058,A000352,A000172,2025-01-04 12:14:13.413353338+00:00,10.32,electronics,transfer,D00241,10.0.1.42,+1-555-0075,user50955@example.com,2058.19,2019-03-13 12:14:13.413353338+00:00,0
T000000059,A000473,A000273,2025-01-04 13:41:21.920480120+00:00,64.6,travel,transfer,D00233,10.0.0.203,+1-555-8343,user3213@example.com,552.69,2016-02-14 13:41:21.920480120+00:00,0
T000000060,A000222,A000161,2025-01-04 15:08:30.427606901+00:00,4.56,travel,transfer,D00042,10.0.1.194,+1-555-6549,user50018@example.com,1027.66,2019-06-06 15:08:30.427606901+00:00,0
T000000061,A000498,A000320,2025-01-04 16:35:38.934733683+00:00,155.18,utilities,transfer,D00102,10.0.0.234,+1-555-9637,user52201@example.com,3341.57,2019-07-18 16:35:38.934733683+00:00,1
T000000062,A000092,A000246,2025-01-04 18:02:47.441860465+00:00,28.87,electronics,card,D00009,10.0.0.238,+1-555-2999,user74908@example.com,883.76,2022-07-11 18:02:47.441860465+00:00,0
T000000063,A000409,A000470,2025-01-04 19:29:55.948987246+00:00,44.09,utilities,transfer,D00071,10.0.0.97,+1-555-7321,user14436@example.com,2292.02,2017-11-01 19:29:55.948987246+00:00,0
T000000064,A000494,A000414,2025-01-04 20:57:04.456114028+00:00,49.96,utilities,card,D00164,10.0.0.40,+1-555-7692,user5127@example.com,348.49,2019-05-27 20:57:04.456114028+00:00,0
T000000065,A000149,A000166,2025-01-04 22:24:12.963240810+00:00,54.24,utilities,transfer,D00051,10.0.1.9,+1-555-0310,user5604@example.com,995.76,2024-09-07 22:24:12.963240810+00:00,0
T000000066,A000073,A000021,2025-01-04 23:51:21.470367591+00:00,17.31,retail,card,D00019,10.0.0.57,+1-555-7593,user95896@example.com,659.34,2020-10-20 23:51:21.470367591+00:00,0
T000000067,A000331,A000292,2025-01-05 01:18:29.977494373+00:00,15.45,retail,card,D00039,10.0.0.155,+1-555-7115,user34475@example.com,1702.44,2016-01-23 01:18:29.977494373+00:00,0
T000000068,A000434,A000169,2025-01-05 02:45:38.484621155+00:00,57.86,crypto,card,D00164,10.0.1.84,+1-555-6141,user23599@example.com,585.33,2016-06-08 02:45:38.484621155+00:00,0
T000000069,A000041,A000450,2025-01-05 04:12:46.991747937+00:00,20.26,retail,transfer,D00055,10.0.0.6,+1-555-5634,user13565@example.com,7014.44,2022-11-11 04:12:46.991747937+00:00,0
T000000070,A000320,A000202,2025-01-05 05:39:55.498874718+00:00,6.85,retail,web,D00061,10.0.1.238,+1-555-8002,user25633@example.com,360.86,2017-08-10 05:39:55.498874718+00:00,0
T000000071,A000435,A000145,2025-01-05 07:07:04.006001500+00:00,7.9,retail,transfer,D00051,10.0.0.218,+1-555-1035,user43899@example.com,3323.01,2021-09-27 07:07:04.006001500+00:00,0
T000000072,A000016,A000169,2025-01-05 08:34:12.513128282+00:00,69.73,crypto,wire,D00097,10.0.0.60,+1-555-3927,user96998@example.com,2704.36,2017-05-26 08:34:12.513128282+00:00,1
T000000073,A000257,A000432,2025-01-05 10:01:21.020255063+00:00,40.33,utilities,card,D00222,10.0.0.86,+1-555-2704,user76169@example.com,1716.24,2019-10-08 10:01:21.020255063+00:00,0
T000000074,A000038,A000056,2025-01-05 11:28:29.527381845+00:00,28.29,electronics,web,D00201,10.0.0.230,+1-555-8453,user85145@example.com,1399.05,2021-10-16 11:28:29.527381845+00:00,0
T000000075,A000088,A000478,2025-01-05 12:55:38.034508627+00:00,48.93,utilities,card,D00004,10.0.1.223,+1-555-1688,user4704@example.com,5907.43,2015-06-04 12:55:38.034508627+00:00,0
T000000076,A000243,A000116,2025-01-05 14:22:46.541635408+00:00,16.0,utilities,web,D00062,10.0.1.60,+1-555-0606,user57433@example.com,9669.88,2022-07-31 14:22:46.541635408+00:00,0
T000000077,A000163,A000423,2025-01-05 15:49:55.048762190+00:00,28.75,retail,wire,D00220,10.0.1.148,+1-555-9248,user49989@example.com,1134.77,2021-07-17 15:49:55.048762190+00:00,0
T000000078,A000042,A000272,2025-01-05 17:17:03.555888972+00:00,45.86,electronics,web,D00138,10.0.1.86,+1-555-3962,user19520@example.com,1519.62,2015-09-09 17:17:03.555888972+00:00,0
T000000079,A000400,A000284,2025-01-05 18:44:12.063015753+00:00,18.01,retail,card,D00010,10.0.1.113,+1-555-7952,user49698@example.com,860.99,2022-10-16 18:44:12.063015753+00:00,0
T000000080,A000101,A000102,2025-01-05 20:11:20.570142535+00:00,38.74,utilities,web,D00062,10.0.0.182,+1-555-2332,user58452@example.com,525.62,2023-01-07 20:11:20.570142535+00:00,0
T000000081,A000435,A000361,2025-01-05 21:38:29.077269317+00:00,12.66,gaming,wire,D00206,10.0.0.226,+1-555-7008,user177@example.com,1940.09,2015-05-31 21:38:29.077269317+00:00,0
T000000082,A000088,A000324,2025-01-05 23:05:37.584396099+00:00,17.06,gaming,web,D00219,10.0.0.24,+1-555-9255,user98099@example.com,1635.49,2020-03-03 23:05:37.584396099+00:00,0
T000000083,A000259,A000240,2025-01-06 00:32:46.091522880+00:00,16.75,gaming,transfer,D00106,10.0.0.129,+1-555-7633,user73825@example.com,369.38,2016-12-07 00:32:46.091522880+00:00,0
T000000084,A000363,A000228,2025-01-06 01:59:54.598649662+00:00,7.42,electronics,card,D00037,10.0.0.32,+1-555-2944,user92559@example.com,1929.09,2024-02-08 01:59:54.598649662+00:00,0
T000000085,A000240,A000298,2025-01-06 03:27:03.105776444+00:00,39.92,utilities,transfer,D00019,10.0.0.162,+1-555-6012,user8973@example.com,1679.94,2018-05-19 03:27:03.105776444+00:00,0
T000000086,A000208,A000235,2025-01-06 04:54:11.612903225+00:00,15.34,utilities,card,D00056,10.0.1.106,+1-555-8314,user6008@example.com,827.99,2023-12-15 04:54:11.612903225+00:00,0
T000000087,A000375,A000487,2025-01-06 06:21:20.120030007+00:00,24.84,gaming,transfer,D00199,10.0.0.102,+1-555-8552,user93205@example.com,785.86,2020-11-27 06:21:20.120030007+00:00,0
T000000088,A000005,A000020,2025-01-06 07:48:28.627156789+00:00,39.68,travel,transfer,D00206,10.0.0.239,+1-555-2994,user93289@example.com,1879.99,2022-12-19 07:48:28.627156789+00:00,0
T000000089,A000413,A000125,2025-01-06 09:15:37.134283570+00:00,38.34,retail,wire,D00064,10.0.1.19,+1-555-2286,user63936@example.com,4851.8,2020-10-19 09:15:37.134283570+00:00,0
T000000090,A000344,A000425,2025-01-06 10:42:45.641410352+00:00,47.72,retail,card,D00244,10.0.0.81,+1-555-4334,user20056@example.com,1842.2,2021-01-31 10:42:45.641410352+00:00,0
T000000091,A000382,A000396,2025-01-06 12:09:54.148537134+00:00,22.23,retail,transfer,D00219,10.0.1.149,+1-555-2505,user28781@example.com,2500.85,2015-07-08 12:09:54.148537134+00:00,0
T000000092,A000210,A000173,2025-01-06 13:37:02.655663916+00:00,16.07,crypto,card,D00246,10.0.1.129,+1-555-7202,user79430@example.com,688.31,2018-05-22 13:37:02.655663916+00:00,0
T000000093,A000192,A000253,2025-01-06 15:04:11.162790697+00:00,22.65,utilities,web,D00188,10.0.0.93,+1-555-5917,user92528@example.com,961.58,2024-04-20 15:04:11.162790697+00:00,0
T000000094,A000285,A000013,2025-01-06 16:31:19.669917479+00:00,4.54,utilities,web,D00143,10.0.0.18,+1-555-4795,user67155@example.com,2178.55,2020-02-19 16:31:19.669917479+00:00,0
T000000095,A000320,A000088,2025-01-06 17:58:28.177044261+00:00,5.77,retail,web,D00245,10.0.0.2,+1-555-8101,user40046@example.com,451.84,2017-06-10 17:58:28.177044261+00:00,0
T000000096,A000462,A000472,2025-01-06 19:25:36.684171042+00:00,6.54,electronics,card,D00172,10.0.0.146,+1-555-2138,user82178@example.com,1580.92,2020-01-31 19:25:36.684171042+00:00,0
T000000097,A000428,A000321,2025-01-06 20:52:45.191297824+00:00,9.05,retail,web,D00207,10.0.0.62,+1-555-8357,user26026@example.com,1987.71,2018-12-31 20:52:45.191297824+00:00,0
T000000098,A000026,A000019,2025-01-06 22:19:53.698424606+00:00,36.59,utilities,web,D00100,10.0.0.8,+1-555-5636,user12921@example.com,1298.77,2019-11-18 22:19:53.698424606+00:00,0
T000000099,A000075,A000396,2025-01-06 23:47:02.205551387+00:00,9.92,utilities,web,D00060,10.0.0.230,+1-555-9762,user38450@example.com,1729.34,2015-05-04 23:47:02.205551387+00:00,0
T000000100,A000473,A000201,2025-01-07 01:14:10.712678169+00:00,16.81,travel,web,D00143,10.0.1.6,+1-555-5996,user46750@example.com,1402.84,2018-06-12 01:14:10.712678169+00:00,0
T000000101,A000194,A000284,2025-01-07 02:41:19.219804951+00:00,89.95,crypto,transfer,D00102,10.0.0.9,+1-555-7622,user61158@example.com,814.25,2019-06-06 02:41:19.219804951+00:00,0
T000000102,A000290,A000428,2025-01-07 04:08:27.726931732+00:00,17.18,crypto,card,D00087,10.0.1.43,+1-555-1896,user68825@example.com,521.92,2015-08-08 04:08:27.726931732+00:00,0
T000000103,A000028,A000418,2025-01-07 05:35:36.234058514+00:00,51.29,electronics,card,D00174,10.0.0.201,+1-555-2327,user72359@example.com,1246.07,2022-03-13 05:35:36.234058514+00:00,0
T000000104,A000052,A000068,2025-01-07 07:02:44.741185296+00:00,9.64,retail,web,D00152,10.0.0.100,+1-555-5562,user20453@example.com,3803.23,2017-06-22 07:02:44.741185296+00:00,0
T000000105,A000204,A000182,2025-01-07 08:29:53.248312078+00:00,19.98,electronics,transfer,D00079,10.0.0.55,+1-555-2306,user66182@example.com,3039.67,2017-03-22 08:29:53.248312078+00:00,0
T000000106,A000358,A000136,2025-01-07 09:57:01.755438859+00:00,9.49,retail,card,D00060,10.0.1.123,+1-555-0441,user4496@example.com,1016.11,2021-04-22 09:57:01.755438859+00:00,0
T000000107,A000386,A000456,2025-01-07 11:24:10.262565641+00:00,17.48,crypto,card,D00136,10.0.0.53,+1-555-4455,user92123@example.com,999.36,2015-03-04 11:24:10.262565641+00:00,0
T000000108,A000447,A000390,2025-01-07 12:51:18.769692423+00:00,56.84,electronics,wire,D00081,10.0.0.100,+1-555-2634,user44199@example.com,942.21,2022-01-18 12:51:18.769692423+00:00,0
T000000109,A000098,A000324,2025-01-07 14:18:27.276819204+00:00,4.36,gaming,transfer,D00059,10.0.1.100,+1-555-6501,user95617@example.com,942.31,2015-12-13 14:18:27.276819204+00:00,0
T000000110,A000100,A000029,2025-01-07 15:45:35.783945986+00:00,37.88,crypto,web,D00055,10.0.1.58,+1-555-5767,user86781@example.com,1686.14,2024-10-21 15:45:35.783945986+00:00,0
T000000111,A000270,A000401,2025-01-07 17:12:44.291072768+00:00,31.12,travel,transfer,D00165,10.0.1.243,+1-555-5129,user19706@example.com,3121.24,2022-01-21 17:12:44.291072768+00:00,0
T000000112,A000273,A000280,2025-01-07 18:39:52.798199549+00:00,13.54,utilities,wire,D00103,10.0.0.20,+1-555-8313,user11151@example.com,8186.55,2021-12-13 18:39:52.798199549+00:00,0
T000000113,A000018,A000136,2025-01-07 20:07:01.305326331+00:00,5.78,electronics,web,D00085,10.0.0.97,+1-555-0674,user91254@example.com,689.61,2021-07-17 20:07:01.305326331+00:00,0
T000000114,A000223,A000221,2025-01-07 21:34:09.812453113+00:00,26.37,gaming,card,D00028,10.0.1.74,+1-555-7839,user49139@example.com,2255.09,2020-08-23 21:34:09.812453113+00:00,0
T000000115,A000448,A000223,2025-01-07 23:01:18.319579895+00:00,14.45,retail,web,D00013,10.0.0.114,+1-555-4819,user10668@example.com,2067.03,2017-06-21 23:01:18.319579895+00:00,0
T000000116,A000081,A000148,2025-01-08 00:28:26.826706676+00:00,30.96,gaming,wire,D00173,10.0.0.190,+1-555-6965,user60894@example.com,1028.86,2020-09-16 00:28:26.826706676+00:00,0
T000000117,A000410,A000454,2025-01-08 01:55:35.333833458+00:00,25.07,travel,web,D00241,10.0.0.148,+1-555-8170,user95689@example.com,589.45,2019-01-13 01:55:35.333833458+00:00,0
T000000118,A000223,A000458,2025-01-08 03:22:43.840960240+00:00,121.73,retail,card,D00081,10.0.1.148,+1-555-3020,user60113@example.com,1669.53,2023-11-09 03:22:43.840960240+00:00,0
T000000119,A000262,A000025,2025-01-08 04:49:52.348087021+00:00,19.31,retail,wire,D00210,10.0.1.136,+1-555-2403,user25934@example.com,7302.0,2024-11-17 04:49:52.348087021+00:00,0
T000000120,A000320,A000467,2025-01-08 06:17:00.855213803+00:00,8.82,gaming,transfer,D00150,10.0.1.146,+1-555-7529,user33707@example.com,1661.1,2021-01-24 06:17:00.855213803+00:00,0
T000000121,A000352,A000201,2025-01-08 07:44:09.362340585+00:00,29.35,gaming,card,D00075,10.0.0.252,+1-555-6350,user26578@example.com,713.52,2023-08-01 07:44:09.362340585+00:00,0
T000000122,A000318,A000399,2025-01-08 09:11:17.869467366+00:00,30.57,gaming,wire,D00141,10.0.0.243,+1-555-1862,user53833@example.com,1181.08,2023-11-28 09:11:17.869467366+00:00,0
T000000123,A000051,A000390,2025-01-08 10:38:26.376594148+00:00,95.51,travel,transfer,D00032,10.0.1.29,+1-555-2697,user42154@example.com,538.0,2024-02-22 10:38:26.376594148+00:00,0
T000000124,A000147,A000299,2025-01-08 12:05:34.883720930+00:00,56.55,gaming,transfer,D00084,10.0.0.33,+1-555-8540,user34289@example.com,1359.41,2022-04-12 12:05:34.883720930+00:00,0
T000000125,A000422,A000371,2025-01-08 13:32:43.390847711+00:00,35.05,crypto,wire,D00183,10.0.1.17,+1-555-5556,user18174@example.com,2313.98,2023-03-20 13:32:43.390847711+00:00,0
T000000126,A000020,A000340,2025-01-08 14:59:51.897974493+00:00,105.99,retail,card,D00212,10.0.0.138,+1-555-9112,user2899@example.com,769.64,2023-07-21 14:59:51.897974493+00:00,0
T000000127,A000357,A000425,2025-01-08 16:27:00.405101275+00:00,57.55,travel,wire,D00222,10.0.1.198,+1-555-7009,user82771@example.com,99.04,2021-12-16 16:27:00.405101275+00:00,1
T000000128,A000260,A000211,2025-01-08 17:54:08.912228057+00:00,12.94,travel,card,D00227,10.0.0.92,+1-555-2062,user80317@example.com,1671.55,2022-06-17 17:54:08.912228057+00:00,0
T000000129,A000059,A000369,2025-01-08 19:21:17.419354838+00:00,9.71,utilities,transfer,D00151,10.0.0.17,+1-555-2072,user12473@example.com,896.73,2015-05-11 19:21:17.419354838+00:00,0
T000000130,A000061,A000489,2025-01-08 20:48:25.926481620+00:00,16.61,travel,transfer,D00057,10.0.1.225,+1-555-9652,user22790@example.com,734.7,2018-08-17 20:48:25.926481620+00:00,0
T000000131,A000490,A000473,2025-01-08 22:15:34.433608402+00:00,6.19,travel,transfer,D00194,10.0.0.78,+1-555-7395,user43928@example.com,729.65,2018-04-03 22:15:34.433608402+00:00,0
T000000132,A000015,A000073,2025-01-08 23:42:42.940735183+00:00,46.3,utilities,transfer,D00220,10.0.1.2,+1-555-5945,user59588@example.com,1844.94,2018-02-27 23:42:42.940735183+00:00,0
T000000133,A000011,A000249,2025-01-09 01:09:51.447861965+00:00,19.64,utilities,transfer,D00068,10.0.0.191,+1-555-6765,user90715@example.com,966.49,2024-06-14 01:09:51.447861965+00:00,0
T000000134,A000008,A000255,2025-01-09 02:36:59.954988747+00:00,5.64,retail,card,D00026,10.0.0.134,+1-555-4143,user69723@example.com,2819.62,2020-01-29 02:36:59.954988747+00:00,0
T000000135,A000314,A000312,2025-01-09 04:04:08.462115528+00:00,8.89,utilities,card,D00071,10.0.0.244,+1-555-3127,user63538@example.com,2869.7,2018-12-12 04:04:08.462115528+00:00,0
T000000136,A000463,A000323,2025-01-09 05:31:16.969242310+00:00,33.57,retail,card,D00189,10.0.1.110,+1-555-8236,user74387@example.com,1078.68,2015-08-22 05:31:16.969242310+00:00,0
T000000137,A000085,A000423,2025-01-09 06:58:25.476369092+00:00,56.72,utilities,transfer,D00015,10.0.0.56,+1-555-8949,user60716@example.com,882.98,2020-08-24 06:58:25.476369092+00:00,0
T000000138,A000397,A000266,2025-01-09 08:25:33.983495874+00:00,180.68,retail,web,D00072,10.0.1.74,+1-555-9063,user92980@example.com,1483.51,2022-04-09 08:25:33.983495874+00:00,0
